date,state,state_ibge_code,place,deaths_sars,deaths_pneumonia,deaths_respiratory_failure,deaths_septicemia,deaths_indeterminate,deaths_others,deaths_covid19,created_at
2018-02-07,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-02-08,AC,12,home,,,,,,4,,2020-06-09 15:50
2018-02-08,AC,12,hospital,,4,,,,,,2020-06-09 15:50
2018-02-08,AC,12,others,,,,,1,1,,2020-06-09 15:50
2018-02-09,AC,12,hospital,,,,1,,6,,2020-06-09 15:50
2018-02-10,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-02-10,AC,12,hospital,,,1,,,6,,2020-06-09 15:50
2018-02-10,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-02-11,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-02-11,AC,12,hospital,,1,,,,1,,2020-06-09 15:50
2018-02-12,AC,12,home,,,1,1,,1,,2020-06-09 15:50
2018-02-12,AC,12,hospital,,3,,,,2,,2020-06-09 15:50
2018-02-12,AC,12,others,,,1,,,,,2020-06-09 15:50
2018-02-13,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-02-13,AC,12,hospital,,2,,1,1,7,,2020-06-09 15:50
2018-02-13,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-02-14,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-02-14,AC,12,hospital,,1,,1,,4,,2020-06-09 15:50
2018-02-15,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-02-15,AC,12,hospital,,,,,,1,,2020-06-09 15:50
2018-02-15,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-02-15,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-02-16,AC,12,home,,,,,,6,,2020-06-09 15:50
2018-02-16,AC,12,hospital,,2,,1,,1,,2020-06-09 15:50
2018-02-16,AC,12,others,,,,,1,1,,2020-06-09 15:50
2018-02-17,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-02-17,AC,12,hospital,,3,2,1,,1,,2020-06-09 15:50
2018-02-17,AC,12,others,,,,,1,,,2020-06-09 15:50
2018-02-18,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-02-18,AC,12,hospital,,1,,4,,4,,2020-06-09 15:50
2018-02-19,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-02-19,AC,12,hospital,,2,1,2,,3,,2020-06-09 15:50
2018-02-19,AC,12,others,,,,,,2,,2020-06-09 15:50
2018-02-20,AC,12,hospital,,,,,,3,,2020-06-09 15:50
2018-02-20,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-02-20,AC,12,public,,,,,,2,,2020-06-09 15:50
2018-02-21,AC,12,home,,,,,,4,,2020-06-09 15:50
2018-02-21,AC,12,hospital,,3,,,,2,,2020-06-09 15:50
2018-02-22,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-02-22,AC,12,hospital,,1,,,,,,2020-06-09 15:50
2018-02-23,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-02-23,AC,12,hospital,,1,1,1,,3,,2020-06-09 15:50
2018-02-23,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-02-24,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-02-24,AC,12,hospital,,1,,2,,3,,2020-06-09 15:50
2018-02-24,AC,12,others,,,,,,2,,2020-06-09 15:50
2018-02-25,AC,12,hospital,,3,,1,,2,,2020-06-09 15:50
2018-02-25,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-02-25,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-02-26,AC,12,home,,,1,,,1,,2020-06-09 15:50
2018-02-26,AC,12,hospital,,1,1,2,,2,,2020-06-09 15:50
2018-02-27,AC,12,hospital,,3,,1,,2,,2020-06-09 15:50
2018-02-28,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-02-28,AC,12,hospital,,3,,2,,1,,2020-06-09 15:50
2018-02-28,AC,12,others,,1,,1,,1,,2020-06-09 15:50
2018-03-01,AC,12,home,,,,,1,2,,2020-06-09 15:50
2018-03-01,AC,12,hospital,,1,,2,,5,,2020-06-09 15:50
2018-03-01,AC,12,others,,,,,1,1,,2020-06-09 15:50
2018-03-01,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-03-02,AC,12,hospital,,3,,2,,4,,2020-06-09 15:50
2018-03-02,AC,12,others,,,,,1,,,2020-06-09 15:50
2018-03-03,AC,12,home,,,,,2,1,,2020-06-09 15:50
2018-03-03,AC,12,hospital,,4,,,,5,,2020-06-09 15:50
2018-03-03,AC,12,others,,,,,1,1,,2020-06-09 15:50
2018-03-03,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-03-04,AC,12,home,,,,,,4,,2020-06-09 15:50
